,text
4145, the subject complaint is being forwarded to the concerned official for assistance on duty tte regarding an unauthorized passenger traveling in train no 13012 
4146, amp we thought colonial mindset is way gone sarcasm the contractual employees should be feeling privileged by having a job rather than showing tantrums about a mere 18 hours day for 5 days in a week in the train 2nd class of citizenship still exists 
4147, except hd all towns amp villages in the district are pathetic ppl are migrating to metro places to work as driver labours amp these 10 hdiots still in dreams 
4148,dear sir electrical socket are not working on ddn shatabdi train pnr 2828028753 c2 55 
4149,rpf s one month campaign to dispose of warrants concludes 
4150, my train no 12369 pnr no 6409489859 very bad and poor cleaneness in train and no tc is coming in my coach to check thr ticket
4151, please confirm if the special train from dnr to ndls scheduled on 8th nov at 9 am ist is indeed a rajdhani express or a normal express we have paid fare for a premium train train no 02239
4152, running 9 hours delay no one responded who is responsible to 
4153, observed by the couldn t be stopped water bottle robbery openly always selling in 20 rs and ane more if you have doing complaint than staff s for a long time will not visite in train car with water bottle no matter how thirsty you are is this humanity 
4154,declare rrb ntpc 2019 result 
4155, mmts section lingampally to secunderabad main areas where stone pelting occurred are hafizpet borabanda stations in secunderabad to sirpur kagaz nagar section ghanpur cherlapally and ghatkesar
4156, sir platform no 02 amp 03 stall no below pic station code juc today morning station per train no 22126 ka coach b6 7 tha stall ke samne 
4157,its been 4yrs now students still waiting for rrb ntpc results playing with the life of students complete failure of rrbs 
4158, 5 vskpjn to tuticoron 6 hyd to tuticorin 7 kakinada to tuticotin indroduction of the new rout of the new trine very convinent please need full at the earlist so kind full fill our req yours futhifully for mohiadeen thampy date 07 th nov 2022 
4159,it s about 2023 already why the stairs train compartment of indian railways are still perpendicular causing many to fall 
4160,dear look at condition of 22948 bgp surat exp sleeper class coach condition why railway is helpless why can t people get their own booked reserved seat why railway rules doesn t exist here we can t add more coaches in such festive season
4161,train number 12429 lko ndls ac xpress attendent denying to give complaint book is the complaint book terminated by indian railways his id card is attached herewith look into the matter 
4162,why shree mata vaishnavo devi katra railway station board have no sanskrut language urdu is not our language 
4163, omg i could share picture day before yesterday when i was travelling in samta express i have to cross two three children who are sleeping in floor to reach door 
4164, 92046 dadar fast is running delay 15 mins and by this i will reach office late and salary will deducted i am demanding my compensation for such delay as soon as possible or share us delay apologize letter from 
4165,train 22845 hatia to pune since train started no cleaner available in 3 tier ac it s been 24 hours no liquid shop available too in bathrooms kindly look into this seems contractor is not paying attention we raised concerned multiple times 
4166, any reply
4167,please fill water and clean bathrooms train no 15116loknayak express pnr 2831638733 
4168, good morning respeded sir re puplic peopules are aweaithing favarapule rep for dired very long distance durando or rajdane exp run operathing from h nizamudeen to tuticorin 2 ajmer jn to tirunel veli jn 3 mumbai jn to tuticorin 4 howra jn to tiruchenture 5 vskpjn to tuticorin 
4169, please share the stall no platform no and your contact no so that proper action may be taken 
4170, train running without cleaning staff no water no hand wash not cleaning in coch train no19046 pnr no 2244352284 mobile no 9376677226 train t jabalpur station 8hour delay right now running date 07 11 22
4171, sir 20908 speed is lower then claimed it daily reach at ksb after scheduled time of 9 10 am as a people working in office need to reach at correct time o w have to put leave nighther they provide stop of some train between 9 to 9 20 am at kdb
4172, i am not attaching the pic here of the washroom here because i dont t want to spoil your day why any cleanliness measure are not being taken in the train where is swachta in this train 
4173, this is the condition please help asap 
4174, iam traveling in train coach d1 most of the seats were not good condition can t retract seats from sleep positions check one of the pictures attached broken seat table regular maintenance needed 
4175, dear sir good morning great faku ji what about yesterday train 12231 4hours 30min late in 12 hours toor shameful work continues
4176,pnr 2348869472 train 15657 brahmputra mail coach s2 seat no 37 medical emergency immediately need medicines please look into it 
4177,train no 16343 16344 amirtha exp please one stop add srr this route allready running this route but now not stopping please rearrange stop srr thank you 
4178, so what actions were taken other than just visiting the passenger amp discussing 
4179, railways sir pnr 4139101089 train no ers 18190 no is water deficient and toilets are not clean sir please take cognizance of the matter and provide to solve the problem of water 
4180, train no 02576 festival special getting late i have linked train from secunderabad 
4181,reminder no 32 i am first class pass holder bought thane csmt ac local ticket on 5 oct according to 2 22 thane csmt ac local it s converted to ordinary local want my ticket fare back have submitted details on 12 oct 
4182, please stop gondia barauni train as it gets late daily for almost 6 to 7 hrs continuously people avoid travelling in it 
4183, dear today morning i tried to book a local train ticket from burdwan bwn to howrah hwh at that mean time amount is got deducted from my account but in uts app no ticket is showing therefore i had to booked counter ticket 1 2 
4184,this is the condition of sleeper coach in 22531 mathura superfast i m requesting indian railway to cross check the entire compartment because many of the passengers doesn t have sleeper ticket even they dont t have general ticket 
4185,is resolve the issue or did the tweet only for namesake dear no delivery of parcel after 7 days please help 
4186, i wish someone is listening as these always go unheard and never taken seriously they will make a noise but will go quietly not like the virar commuters or other common reason will be waiting for approval here we are welcoming such initiative but are kept waiting one day 
4187, what is this clear all zone typing status i dont t know what railway want and save gorakhpur students life also everytime this zone is late why now students condition like vicky kausal 
4188, traveling in train 12791 coach b1 toilets v dirty with no water lodged complaint at 139 excuses are made no action taken 
4189,dear sir ma am i m a student travelling by marudhar express14863in sleeper class the train is full of passengers and near about all washroom and washing area are too much dirty and smelling i request to please take some action 
4190, our coach h1 has been jerking a lot feel like earthquake and with every jerk items are getting dropped since we started from lko this is not expected with pantry car is non responsive and far from our coach pnr 2348994140 trn 12533 dt 06 11 22
4191, i m sure no action will b taken i deeply requested to sir please accident visit some of train u can see properly see how we passengers is suffer 
4192, no water in the washbasin and toilets between c3 c2 in vaigai express train no 12636
4193, what is wrong with we are waiting since last 4 four year and still not any date given by rrb why make fun of student please understand the situation of student we are getting older 
4194, railways should charge only cheap local fare in local trains which is not charged in any train of bhavnagar division express train fare is charged only in local trains so that the public does not suffer financially at the earliest 
4195,hello why is daily train 12814 delayed every single day should change the schedule if it is not getting followed 
4196, driver get camera with sensor so that he can get extra second to make decision 
4197, seat from rac i have contacted tt but not cooperating and offered the seat to someone else who paid for it your cooperation is highly solicited 
4198,rrb playing with aspirants career they are here for playing cards for elections through recruitment 
4199, i want a doctor in train 22738 hisar to secunderabad at vadodara age six years
4200, my train no 12952 my seat no is b3 rac 15 date of journey 6 nov22 on rac no bed sheet blanket pillow is given to me i also pay full money for the same ticket when i ask to coach atender he denied me and behave very rudely pnr is 2249949617
4201, whole s6 coach is filled up to the brim please help send someone asap train is halted at kiul at the moment 
4202, sir we are traveling on train no 12391 shramjeevi super fast expressrjd ndls so called today pnr 6708967839 p1 rc b2 39 we are traveling with 2 small kids and the health of my wife is not good please have someone confirm this
4203,so evert day the goregaon fast local by 8 56am leaves late by 10 15mins indian trains are always late resulting to loss of commuters for not reaching on time 
4204,under received information ravi amp shiva singh constables secured left over bag from in gs coach at londa rly stn contains mobile charger documents amp other i e v rs 5000 amp returned to rightful owner 
4205, why is peak hour bvi originating ac local cancelled every other day wr hardly cares about bvi now a days wapas lao
4206, every time this is the standard feedback from your team respect sir sorry for the inconveniences caused due to operational reason train delayed when we will get a solution 
4207,had to travel in emergency so forced to pay 3000rs as a bribe to tt in humsafar train 22438 travel date 06 november 2022 alloted seat no b2 25 everything has been recorded in cctv 
4208,on 06 11 2022 rpf dindigul train escorting staff of 16351 secured a left over mobile phone and returned to its owner 
4209, my pnr number is 2731732378 please tell me is police personnel allowed to travel without ticket break all laws and still be consider as law protection officers india railway is disgusting 
4210,on 06 11 2022 rpf thiruchendur secured a left over mobile phone and returned to its owner 
4211,my part ticket got rac status and rest remained wl after chart preparation i couldnt cancel after chart preparation how can i get refund of those tickets 
4212,dear why train no 29024 valsad fast passanger getting delay frequently seems there is no value of thousands of daily officer goer commuters timing convenience dahanu vaitarana localities for incompetent officials of 
4213, train number 19490 standing outside without any reason from more than half an hour and as platform vacate other on time train enters y we facing this problems late due to railway negligence 
4214, people using twitter will not spit on the train or throw dirt for sure
4215,why 16235 delayed daily from sbc to mys it s impacting daily traveller s 
4216, e ticket on waiting list was dropped after charting but still i have rcvd msg of refund amount after deduction of cancellation charges where can i raise complaint about same 
4217, train no time now change but not useful for passenger please dont t change departure time from it s old departure timing is 9 20 am now new departure timing is 11 20 am that s not benifitial for passengers kindly change the departure timing 
4218, sir please see how the passengers are board the train to reach his destination everyday due to insufficient local trains at tak section which you are cancelled for last 2 years who will responsible for any loss of life 
4219, pull the chain and stop the then only they will take necessary action on these issue otherwise 
4220,trial run of south india s first chennai mysore vande bharat express started from chennai mg ramachandran central railway station today hon ble pm shri ji to inaugurate the 5th edition of vande bharat express train on november 11 
4221, train no 19490 gkp adi express is expected to come at banaras station at 2 30 am on 07 11 2022 it s been 8 50 am but still train has not reached no proper updates are provided for train arrival please check
4222,salute u c p sunilkumartrack maintainer qln tvc sr v lost another soldier v losing mre than 300 lives yr rly shld form a commision to study the life amp to end this pathetic life of tms 
4223,train hari to ahm all washroom stinks not a single washroom is clean this is too in 3ac not a single ac coach where wawhroom is clean all cleaning boys seating idle and even wen v open door of coach it stinks pathetic experience 
4224, dear concerns please suggest what to do as the gender is wrongly entered in tejas train online reservation cancellation is not the option as travel is required urgently can we travel with valid id proof please reply urgently 
4225, mr rail minister a train 12531runnings it s a so called superfast train but sorry to say on besis of many time traveling experience with this train is horrible 275km distance it s take more then 5hrs please see what kind of services railway providing to citizens
4226, my phone no 7355191049
4227, ac train time table reshuffling done w e f 1 oct since then it s been 4 5 times the 8 26 am ac train from borvli to churchgate has been either cancelled or arrived as a non ac train during peak hours this is causing major inconvenience 
4228, thanks to i missed my flight wasted my whole day 
4229,how the initiative is soooo amazing but the timetable is so off at a time when bengaluru chennai high speed corridor is required for businesses shatabdhi is doing a much better job than this time table 
4230, train number 19421 has left from ahmedabad to patna at 9 50 hrs but till now no sweeper has come since yesterday for cleaning work even handwash is not available in most of the bogies the water is spilled 
4231,i never knew we are allowed to travell like sheeps in ac coach of superfast 20401 on 7 11 2022 my pnr 2731732378 in my coach maximum people are travelling without any ticket or authority shamful indian railways 
4232, non handicap person making nuisance in handicap coach unnecessary arguments with handicap people 
4233, destroy it
4234, the sight of such poor arrangements of indian railways after that the train is late for hours and in the name of a clean train a moving garbage house the same is the condition of all coaches of shalimar to udaipur train 20972 
4235, train 20822 late by 12 hrs still not reached kalyan why soo much delay please help it out 
4236,train 04652 asr jyg clone special is late more than 3 30hrs this train fare is extra 250rs charge than other superfast train for superfast clone exp i m travelling last 18 hrs shame on you when indians compared to other time is priceless for you 
4237, the train 20822 pune humsafar is stranded outside of titvala station for more than an hour the train is already late by 9 hours our offices are going to miss due to this please do something
4238, train no 14009 getting alrdy getting late by 9 hrs nd it continues reschedule by 7 hrs and this is condition
4239, sir pune humsafar express 20822 getting too late more 9 hrs we are facing trouble alot please do the needful as we reach our place early 
4240,i think indian railways is like roadways maximum person in my coach ce2 of 20401 7 11 2022 is travelling without ticket and created a mess inside coach specially the people in police uniform so am i a stupid who is travelling with a proper ticket 
4241, ye kabhi bhi proactive ho kar action nahi lenge na hi responsible railways officials ke khilaf koi action lenge 
4242,these are the fresh bedsheets provided by in the hirakud express and this is not the first time after change thrice still got unwashed stinky and dirty sheets do you understand the seriousness how unhygienic it is 
4243,why the indian railways is not working for the punctuality of express and mail trains express superfast and mail trains get delayed by 4 5 hours train 12231 superfast is running late by about 5 hours there is no meaning of superfast train 
4244, train 20822 departed at 6 pm from santragachi jn not yet reached at its destination and already late by more than 9 hours and it s standing now 10 km away from kalyan jn since last 30 minutes and you call it as the premium train got frustrated while this journey
4245,this is the situation in the train huge rush without tickets and reservations train number 19484 pnr number 6211304170 
4246,my brother travel from gkp to ltt when he reach thane station he got informed by rpf that he have to leave the train does not take him to his destination i want my refund 
4247, train no 12015 delhi ajmer shatabdi poor catering service rude behaviour of staff passengers nightmare 
4248, i am begging please announce every stations properly about the reserved coach position of 13012 and beware the unauthorised passengers not to get on the train 
4249, clear 100 technicians waiting list of rrb cen 01 2018 
4250, no cts available at manikpur jn please attend at yours 
4251, how can you say on time dont t u have any sense or shame before saying it
4252, unfortunately exchanged bag during traveling from bhopal to sagar yesterday night by morning today we have received our own bags thank you railway and team 
4253, please look into the matter seriously take strict action against officials responsible for such lapses including contractor if any and redress it immediately in the larger public interest please share your further experience
4254, since we are travelling from ranchi and no attendant is there in the train bed sheet other no provided yet 
4255, can just wear the same without the cost and the tie 
4256, why are informing this late how inefficient are you people have already purchased the ticket which are bery expensive this is the least we can expect from you inefficiency ki bhi koi hadd hoti h 
4257,sir can you please look into updating coaches of 22639 22640 to new lhb coaches existing ones are old icf and so dirty toilets are even worst i am a regular weekend traveler ji 
4258,travelling in train no 18102 jat tata there is no cleaning staff in the train and no cleaning at any of the halt stations it seems that cleaning staff is on strike why should a passenger pay full ticket fare 
4259, this is a painful issue please suggest and provide solution for correction of gender by person booking ticket 
4260, travelling today 7 nov in delhi ajmer shatabdi from gurgaon having very bad experience catering staff is behaving very rudely indian railway services at lowest level 
4261,government is talking about bullet train vande bharat express and this is the real condition of indian railway 10hours delay 
4262, not in general coach reserved coaches why always a passenger need to complain everytime i travel rph to hwh in 13012 daily i see this daily very rarely tte come and check passengers sit number and gone same time he she done nothing to the unreserved passengers 
4263, inconvenience caused to esteemed passenger is deeply regretted ranchi p f 2 amp 3 lift not working from morning same inform johnson concern company they will attend shortly thank you
4264,train no 18116 runs 180km in 6 hours and stops at every stoppage and still how is it an express train what type of fraud is going on eastern railway runs numerous express trains of this kind 
4265,prna to anvt seemanchal exp 6 11 22 last moment my ticket not confirmed then i m going to gen caoch d3 d4 but all gen coach not clean and all charing point not working after completion tt his not respond customer care not ans the call mail not any one response 
4266, matter forwarded to official concerned 
4267,from last so many days we reach station on time to catch local and happily announced inconvenience caused is deeply regretted 
4268, complaint has been registered on rail madad portal with reference no 2022110700111 
4269,dear condition of sleeper class trains are worse than general now days i m in a yog nagri rishikesh 14229 in s2 everyone with general ticket are setting in here instead of sitting in general 
4270, sir sir kindly help travel today in 1ac with 2 kids 10 yr and 3 month infant on breastfeeding seating cabin allocated separate and all upper seats pnr 8658473158 please help 2022110701369 worried please help 
4271, train no 12871 d8 im travelling and the compartment is full of unreserved passengers is this the way we need to travel why no action being taken why then we shall pay and reserve our seats in adv frustrating
4272, travelling in mas shalimar coromandal express boarding at chennai central the train is dirty and unclean the bedsheets are unwashed most unhygienic experience is this why you re charging such a high premium as fare take action please 
4273, 20822 running 10hrs late standing outside kalyan station for past 1hr is this the treatment given to 1100 passenger including kids womens by indian railways request authorities to ensure it is not further delayed 
4274, due to necklejency and poor moniterring by your operating officer of raipur division he is working in instructions of subordinate employees shame shame 
4275,so many people including me waiting for train no 14523 harihar express so please give update for this train amp reason of delay name anand mohan singh pnr 6111297706 mob no 9534135454 
4276, the matter does not pertain to vadodara
4277, please dont t do this 
4278, thanks for your complaint the subject complaint is being forwarded to the concerned official for assistance on duty tte regarding an unauthorized passenger traveling in train no 13012 in general coach please share your contact details for further assistance 
4279, requesting ji amp ji to look up into this amp get us lhb coaches for simhapuri express with the help of 
4280,i am travelling in lko cdg sf exp12231 pnr 2250340162 i need to report to my college in chandigarh before 4pm and if i fail to do so then my admission will be cancelled the train is 4 hours late 
4281, slow claps for informing so much in advance about running non ac trains a record breaking 28 mins prior to departure wrt 8 26 ac train from borivali 
4282, today i am travelling danapur to bengalore via sanghmitra train 12296 in 3rd ac b3 really worst facility even 3rd ac is similar like general many guys are without ticket and sitting to many others seat really so disturbance in a single 3 4 guys setting
4283, pnr 4236022009 coach b3 bathrooms are very very dirty water is lodged and spilling everywhere please take necessary action 
4284, train no 20822 is running 10 hours late yet it is stuck before kalyan station since last 1 hour will it ever reach pune or we have to make our own arrangements it s monday and we suppose to be in office 
4285, the bed rol position which is provided to passengers in train no 02569 coach no b 7 
4286, why dont t you start some new trains from ntsk to other parts of bharat via ghy have you ever entered in sl 2s of 15604 15603 it s over crowded it s an inhuman act that continues by ir issue tickets more than its seating capacity
4287, many earlier complaints by me also against him but always you allow him scot free due to your inaction his people have become so arrogant that they even abuse passengers even vigilance dept will be informed as it seems undue favour is given to contractor
4288,uts application for central railway ticket booking system i am not able to login since yestarday night and i have my money in r wallet please help and provide solution 
4289,pnr 2450724620 frm kpd to ern toilet cleaning not done since morning all toilets are clogged attendance other staffs are not taking any initiative to clean the same 
4290, go for a surprise check then you will get to know the real facts of time amp cleanliness 3rd ac coaches are worst than sleeper coachers nowadays
4291,trn 01667 the train is 17 hour late and not sure if it will not increase just ruined 2days is this launchng and then this the train hs no pantry is this new 
4292, asscelator on platform no 3 amp 4 central side towards not working last not working for 3 consecutive days and today also causing inconvenience to senior and ladies passengers always there is same problem do the needful
4293, great along with that new line from dharwad to belgaum via kuttur should be prioritised more than an hour of time and money can be saved
4294, my pnr no is pnr 2449730917 trn 12231 frm lko to cdg i am travelling from this train and again this train is late abut 3 to 5 hr again n again any responsibilities of railway or not this repetitive type of act and railway did not think about others time importance 
4295, ab kya students mar jayenge tb doge job 
4296, sure sure 6709026664 take this lodge a no impact complain and shove it 
4297, the unclean state of badnera junction rail tracks just opp platforms 
4298, sir pnr no 2512784867 train has departed from original destination but chart is still showing not prepared can you please help
4299, stn wht abt middle fob to platform no 1 commuters senior citizens have to walk 500 mtrs both end 2 reach there it s dismantled in 2019 yet no progress please update 
4300, with dhoti a man is not smart we study in school a man with suit boot is a gentleman 
4301, share your contact no 
4302,deeply saddened by the service of the way they treated reserved passengers of 13012 intercity express there s no tte tc monitoring in reserved coaches all of the reserved coaches are fully occupied by the unreserved passengers 
4303,few mins back rain trash were disposed on the railway track immediate action need to be taken on this issue train no 13351 dhanbad azhapuzha exp place tirupur railway station 
4304,train no 15232 gondia barauni express ac 2 tier coach no a1 pnr no 6411305414 water is not available in washroom since i started journey from raipur 
4305, please take necessary action for running this train sarnath express 15159 this train is not started from chapra jn 
4306, arrange toilet cleaning and water refill at rny 15962 a1 coach
4307, bc type of urban naxal s entered in train dear please tie this bahanch d women in front of bonut of vnade bharat so that he can get the answer of her question next time just like this urban naxals 
4308, hi railway team it s very unfortunate that in boarding station no one open the gate for boarding of train number 12150 at dd upadhaya in due which our 50 people of old age unable to get the train and your station master is also not providing any alternate option
4309, santragachi pune hamsafar express is delayed by more than 9 hours sir can anyone explain why people will suffer 
4310, we value your valuables under nr located unclaimed bags containing valuable articles laptop amp mobiles and returned to their rightful owners 
4311,currently i am travelling in tejas express train no 82902 there are lots of mosquitoes in c7 coach can please do needful 
4312, kindly speed up the joining amp result process it s been almost 4 years now a lot of time already wasted 
4313, train number 14009 s8 bathroom is very dirty please clean it 
4314,it s very sad that after spending huge money for rajdhani 22692 pnr 2606243203 you get very dirty bed sheets and even on asking attender to change it he said that we have these kind of bed sheets only 
4315,thousands of daily passengers for office and class travel from bxr to patna but still no trains for them on time indian railways only knows how to exploit people 
4316,so many people including me waiting for train no 14523 harihar express so please give update for this train amp reason of delay name anand mohan singh pnr 6111297706 mob no 9534135454 
4317, sir the washroom is in worst condition and no one has came from evening to clean the washroom so kindly se it pnr no 2512710758 
4318,most of these dud projects from and 
4319, now 12130 is running 12 hrs late will there be any action any accountability any reason are they capable of running train services 
4320, train 12231 lucknow chandigarh express is late by 4 hours train was stationary for 2 hours from 1 to 3 am now again not moving for last 1 hour please look into the matter 
4321, ek baar hum students k bare me sochiye jo itne din se prepration le rhe and last time me itna late kiya ja raha result dene me 
4322, i booked a waitlisted ticket 406 rs and ticket is not confirmed so irctc refund me 320 rs 86 loss only for surfing on internet without paper and ink 
4323, we are in train 06549 is running 4hrs delay due to this we can loose our next train from patna very disappoint feeling
4324, sir please help me for board my train no 22404 ndls pdy exp time 10 25am i m now current travel in train no 03391 with family this train running 6 hours delay this train reach itarsi eta 11 am please help me
4325, hello we regularly travel on these trains even the ac won t work properly in 3 tiers poor quality bedsheets etc amp the suspension of the coach 2 decades old please allocate lhb coaches for simhapuri express sir with the help of 
4326,pnr 6211130698 train no 18203 birth b1 30 complain toilets uncleaned please help 
4327, it will be an utter shame otherwise travelling in the ac first class travel with the public in 2nd class sleeper then post neat and clean 
4328,bikaner yashwantpur express no place to go for washroom 
4329, it s radimade reply please do something extra for this will be running on punctuality sir ji
4330, why pune humshasafar train no 20822 is soo much late 
4331, then the train should must give refund to the person who has reserve tatkaal seats 
4332, 12990 2nd ac toilets are dirty no one is here to clean it pleaae help to clean it at next station seat no a1 31 
4333, i think you should mention shop details too for and to take action
4334, sorry for inconvenience matter notified to for maintaining punctuality 
4335, go and check washroom
4336,following trains will run as non ac instead of ac services today i e 7th november 2022 as one of ac rake is under maintenance due to some technical problem vr 94001 departing from borivali at 4 56 hrs vr 94006 departing from virar at 5 50 hrs 
4337, sir no action taken we reached delhi 
4338, provide some compensation atleast
4339,do or ever check the food being provided in train or on platform pathetic and of such poor standards that too at a price costlier than normal shops restaurants do the food inspector inspects quality on the railway platform stalls 
4340,what s a rail management train no 12229 lucknow to new delhi delayed approx 3 hours no one understands that anyone have some emergency please look into these issues to manage these things otherwise it s a daily routine 
4341, train 12817 started on 6th nov people have created chaos and havoc in s3 coach have entered without tickets or general ticket and troubling people with tickets blocked the isle can t even go to toilet please do something 
4342, why is the padmavat express 14207 getting late since last several days today also it is late by about 3 hours and is still in middle of the journey may kindly look into this matter 
4343, there is no catering services in the station or in the train supplies 150ml tea for 5rs from long time why there is no action they have 60 90ml cup and charge 10rs pnr 8359035969
4344,unauthorised people people without ticket and excessive luggage in train no 12519 b14 seat no 65 approximately 13people in 1 compartment no place to sit please help 
4345, pnr 4651907144 this is 2 nd very bad sarvice if cleaning staff not looking at from a starting station 
4346, inspite of being several complaints no ticket checking staff is coming on cst kasara morning local train which arrived titwala at 7 07 am some rpf and railway staffs were traveled in first class without entitlement and we pass holder suffer everday
4347, sir work is ongoing without following safety in public placesup etw the grinding machine from which the fiber sheet is being cut is not covered in that grinding machine all passing by and the worker may also get hurt who will be responsible for that 
4348, 12559 there is no water in train in coch b2 and b1 and coch is dirty kindly clean it if you can t run the train just stop them pnr 2250742628
4349,finally we won now it is a 10 hr delay what a service all passengers are taking leave today i am also thinking so
4350, my wife is travelling on pnr number 6511204880 in h1 class she need warm water for baby feeding she has requested to pantry team but still they are not responding could you please assist on this on priority basis 
4351, the train you are traveling in is always late this train in his history never ran on schedule you can check this train number history 
4352, this is the height of train getting delayed its 36 hrs journey from mumbai gorakhpur and it has already taken 40 hours of time stillstanding on the platform waiting for the signal not sure when it will reach gorakp
4353, my pnr number is 6205990116 and train number is 11428 in this coach number s 3 and there is no water supply since yesterday please help 
4354, please update reason for delay 
4355, tax payers money needs to be better utilized wonder if the even takes not of this kind of wasteful expenses or is it that the railways will beautify the places and then give it to private contractors later must step in to see if all is well 
4356, before election you have time to correct the schedule timing if had done work it will show improvement
4357, i received a call from his asking me bill invoice for water bottles but saler not give me any bill so how to i provide the bill copy as a avidance so matter is close 
4358,pnr no 6510497371 train no 01667 jaynagar anand vihar chhath puja special train late more than 14 hr lost today salary no food no water provide compensation 
4359, refund status show that refund amount has been sent to your bank but my payment not received please check this issue 
4360, train no 20908 sayaji nagari no water in wash basin in b1 coach please filled as soon as possible
4361, does the renovated bapudham motihari station have lift escalators on all platforms
4362, pnr 2150709558 passenger name rajan arora train number 12015 from ggn to jp cls cc seat c4 64 window side the charging point is not working no person is listening my compliant in the coach this is the basic things
4363,not sure what will happen to the country where one seat is sold to 2 person sir please save the image of indian railway 
4364,indian railway at your service engine failed at salamatpur near vidisha and passengers have to to take a different train bhopal express passenger s still in stress no help from 
4365,dear sir it s seems there is no value of our time my next connecting train i ve canceled due this 5 hours late who will pay the cost of our time and money 
4366, wow the 3 bricks lying in the bottom of the before picture have been removed great new 
4367,pnr 8258975662 dirty coaches no water in washroom 
4368, i and lots of passenger are fade of with late schedule of durg express train its getting 10hrs to my destination how can we do our work on time 
4369, i m travelling from balasore to shalimar on train 12842b1 36 38 i am searching and waiting for ac attendent from past 1 hour so that we can get new set of bedsheet and pillow but nobody is there and other compartment attendent 1
4370, please visit and dont t disclose ur identity only then u can see the real railway how bad it is operating under new minister
4371, 17063 ajanta express i boarded the train in nagarsol and no water in any of the restrooms from the beginning all the passengers are suffering now with out water my coach number s2 seat 29 hope this reaches you
4372, my father is travelling by 22431 madgaon nizamuddin rajdhani there is no water available in washrooms lack of cleanliness please take proper action when we pay such amount we expect better service passenger details can be shared in dm 
4373, u cannot blame railways for this
4374, sir train no 12802 depart on 6 nov 22 coach no s6 is like general coach no railway staff or rpf staff clear this please do needful 
4375,i am traveling in train and there are lots of people without ticket and reservation is travelling there is no space in the coach to even stand pnr number 6211304170 train number 19484 
4376, disappointed with cleanliness of 03048 rampurhat howrah viswabharati fast passenger c1 coach cockroaches amp spiders roaming around bathrooms are not clean also please have a look 
4377, why champaran humsafar train is not stopping at bmki champaran 
4378,train number 13238 reached alamnagar at 06 47 am it s past 30 minutes now but train has no reached lucknow whise distance is around 5 km great service level by indain railways and no update is even given for the same 
4379, train number 22419 is running late by 2 hours my mother is traveling to pick up whom i have to go to anand vihar terminal i will be late for office today please take the train on time pnr number 2350596146
4380,ac is not working in train from past 3 hours please look on priority pnr 2512713434
4381, reschedule train no 16609 tcr can express before covid 19 time ie 06 50 am departure at srr
4382,horrible experience boarding 12401 gzb 1220 am ist ac 8458362640 coaches locked despite banging none opened on entering distant 2ac tte attendants said they were busy gzb think about other rlystn 
4383, train no 12140 issue looks like train is overloaded boggy s8 is overpacked 
4384, today again train no 05545 is 1 hour late dont t know why samastipur division does not take action against the concerned officer the train was late that too 1 hour so how did the passenger service happen 
4385, is doing nothing no help they are not helping us they are just enjoying their free salary sir please register complaint against change to 
4386, you can do better on a monday morning may be look at ndls for inspiration 
4387, as everyday please dont t show inefficiency and pathetic mgmt of you and ur team as 20908 call supfa exp speed 41 kmh daily late at ksb ipo its scheduled time of 9 10 am apne dimag mai bithao we just dont t have to reach we have to reach ontime 
4388, chicha 1ac is always clean cause of vvip movement you should go to 3rd ac or sleeper then you will realised what kind of cleaning maintain by indian railway
4389, outside look is your priority any improvement in platform space and toilet facilities remember the fatal accidents due to congestion in platform and foot over bridge
4390, thank you for clearing some slums but still the place looks frowsy they dug out the footpath as seen in images also need to clear rest of all slums and clean the place loc charni road station 
4391, i have been travelling hatia to smvt bangalore train no 12835 dt 6 11 22 in sleeper coach s4 and this is what it looks like people been entering the coach with second class coach tickets and creating mess all around authorities doing ntg 
4392, indian clothes for india please suit tie is a colonial hangover
4393, sir till now no action taken from anyone we about to reach new delhi station 
4394, train no 11077 is again late for 30 min for no reason we have things to catch kindly look
4395,salute u c p sunilkumartrack maintainer qln tvc sr v lost another soldier v losing mre than 300 lives yr rly shld form a commision to study the life amp to end this pathetic life of tms 
4396, hello team i had a bad experience while travelling yesterday in lokmanya tilak terminus 18520 i found the bio toilets very dirty and unclean and flush was not working at all i also called on the number mentioned on the toilet door but nobody came from the team
4397, train 14205 delhi to pbh running almost 2 hrs late it s reported a regular pattern pl look into regards 
4398, ac is never kept on at godavari paid ac waiting room people have to use washroom without shoes as shoes are made to keep out abusive staff repeated complaints have been covered up by bhusaval div 
4399, provide stoppage of train no 12904 at bharuch jn due to no train availability between pick hrs of 18 00 to 21 30 hrs towards surat on daily mode 
4400, dear sir from last 6 month we are facing huge issue this type of cancellation of trains we are small sector worker and we have shifting duty first and last train should be run otherwise we aren t able to run family please consider our situation
4401, happens with me all the time and the toilets of indian railway makes you sick clean toilets or no toilets at all they are claiming a lot doing very less their tdr filing system is a scam where they are looting passengers
4402, train number 22610 cbe maq intercity express train is deplorable bloody old coaches with smelly toilets why can t you change it with memu type trains
4403,why trains are running so late especially vidarbha express 
4404, escalator is not working at kalyan station pf no 6 7 please assist
4405,i cancel my tickets but no refund is done kindly help pnr no 2512289183 
4406, pnr no 6111290344 travel phr to jammu in 3rd ac to check in train door was closed facing very problem to enter no attended is there coach condition very bad amp worst local hawker disturbing amp security issue no body provides bedding to body to check
